Signal,AUROC,TPR@FPR5%,TPR@FPR10%,TPR@FPR20%,ECE,Cal. Pearson,Cal. Spearman,Brier,Cost
KL cross-modal (kl_t_v_L34_tau1.0_max),0.661,0.077,0.269,0.423,0.087,0.748,0.789,0.159,1×
"KL v→t (mirror, kl_v_t_L34_tau1.0_max)",0.566,0.115,0.192,0.308,0.074,0.283,0.532,0.164,1×
Entropy,0.624,0.038,0.102,0.385,0.116,0.094,0.612,0.164,1×
1 - MSP,0.624,0.038,0.102,0.385,0.116,0.020,0.612,0.164,1×
Energy,0.560,0.038,0.077,0.308,0.111,0.269,0.181,0.164,1×
rank(KL) + rank(1-MSP),0.698,0.154,0.192,0.308,0.145,0.549,0.656,0.159,1×
